"datetime","rows_in_bin","overall_completeness","hr_median","rr_median","temperature_median","temperature_calib_median","rmssd_median","hr_mean","rr_mean","temperature_mean","temperature_calib_mean","rmssd_mean","hr_missing_propn","rr_missing_propn","temperature_missing_propn","temperature_calib_missing_propn","rmssd_missing_propn"
"2025-07-13 10:40:00",24,1,53,NA,32,NA,0,107.615384615385,NA,32,NA,362.041666666667,0.458333333333333,1,0,1,0
"2025-07-13 10:45:00",300,1,60,16,33,NA,70.5,61.2296819787986,15.6185567010309,33.2991666666667,NA,136.023333333333,0.0566666666666667,0.03,0,1,0
"2025-07-13 10:50:00",300,1,63,18,34,37.25,41,63.1433447098976,18.7966666666667,34.1558333333333,37.4244323295455,42.11,0.0233333333333333,0,0,0.706666666666667,0
"2025-07-13 10:55:00",300,1,65,20,35,37.9,36.5,65.6237288135593,19.5933333333333,35,37.9,44.77,0.0166666666666667,0,0,0,0
"2025-07-13 11:00:00",300,1,74,13,35,37.9,56,72.5073170731707,12.7566666666667,35,37.9,59.8666666666667,0.316666666666667,0,0,0,0
"2025-07-13 11:05:00",300,1,71,15.5,35,37.9,74,71.7125984251968,15.4266666666667,35,37.9,78.4766666666667,0.153333333333333,0,0,0,0
"2025-07-13 11:10:00",300,1,52,17,35,37.9,83.5,52.6164383561644,16.88,35,37.9,93.31,0.0266666666666667,0,0,0,0
"2025-07-13 11:15:00",300,1,68,17,35,37.9,62,68.1442307692308,15.3666666666667,35,37.9,65.87,0.306666666666667,0,0,0,0
"2025-07-13 11:20:00",300,1,67,10,35.3,38.2,34.5,66.8289473684211,12.0066666666667,35.3491666666667,38.2491674333333,41.35,0.493333333333333,0,0,0,0
"2025-07-13 11:25:00",300,1,73,17,35.75,38.65,81,72.8576271186441,18.02,35.7491666666667,38.64916775,70.3033333333333,0.0166666666666667,0,0,0,0
"2025-07-13 11:30:00",300,1,75.5,18,36,38.9,73,75.5766666666667,18.21,36,38.9,68.93,0,0,0,0,0
"2025-07-13 11:35:00",300,1,72,18,36,38.9,29,73.4244897959184,16.9566666666667,36,38.9,38.0266666666667,0.183333333333333,0,0,0,0
"2025-07-13 11:40:00",300,1,70,18,36,38.9,36,70.43,18.37,36,38.9,35.9033333333333,0,0,0,0,0
"2025-07-13 11:45:00",300,1,70,19,36,38.9,31,71.1103202846975,19.0466666666667,36,38.9,35.1966666666667,0.0633333333333333,0,0,0,0
"2025-07-13 11:50:00",300,1,70.5,19,36,38.9,30,71.0201342281879,18.7033333333333,36,38.9,28.05,0.00666666666666667,0,0,0,0
"2025-07-13 11:55:00",300,1,69,18,36,38.9,36.5,69.4545454545455,18.42,36,38.9,34.95,0.01,0,0,0,0
"2025-07-13 12:00:00",300,1,72,17,36,38.9,42.5,72.675,17.2066666666667,36,38.9,39.0966666666667,0.0666666666666667,0,0,0,0
"2025-07-13 12:05:00",300,1,75,16,36,38.9,32,75.0428015564202,15.8433333333333,36,38.9,26.7,0.143333333333333,0,0,0,0
"2025-07-13 12:10:00",300,1,70,17,36,38.9,41,70.5516014234875,17.0633333333333,36,38.9,51.63,0.0633333333333333,0,0,0,0
"2025-07-13 12:15:00",300,1,74,16,36,38.9,31,74.2952755905512,16.5533333333333,36,38.9,45.03,0.153333333333333,0,0,0,0
"2025-07-13 12:20:00",300,1,70,17,36,38.9,33,70.2440677966102,17.3966666666667,36,38.9,39.4,0.0166666666666667,0,0,0,0
"2025-07-13 12:25:00",300,1,72,17,36,38.9,30,72.4896551724138,17.3233333333333,36,38.9,37.3666666666667,0.0333333333333333,0,0,0,0
"2025-07-13 12:30:00",300,1,71,17,36,38.9,41,71.741935483871,16.77,36,38.9,46.44,0.07,0,0,0,0
"2025-07-13 12:35:00",300,1,72,16,36,38.9,36,72.0150943396226,16.09,36,38.9,35.9066666666667,0.116666666666667,0,0,0,0
"2025-07-13 12:40:00",300,1,73,17,36,38.9,38,73.7678571428571,16.82,36,38.9,41.41,0.0666666666666667,0,0,0,0
"2025-07-13 12:45:00",300,1,82,11,36,38.9,0,81.2276422764228,11.4866666666667,36,38.9,39.8466666666667,0.59,0,0,0,0
"2025-07-13 12:50:00",300,1,80,12,36,38.9,0,79.5942028985507,11.2766666666667,36,38.9,13.8833333333333,0.77,0,0,0,0
"2025-07-13 12:55:00",300,1,77,15,36,38.9,0,77.8415841584158,14.2533333333333,36,38.9,27.98,0.663333333333333,0,0,0,0
"2025-07-13 13:00:00",300,1,81,15,36,38.9,0,81.64,15.8366666666667,36,38.9,10.2066666666667,0.833333333333333,0,0,0,0
"2025-07-13 13:05:00",300,1,83,13,36,38.9,50,83.71875,13.3066666666667,36,38.9,44.5366666666667,0.466666666666667,0,0,0,0
"2025-07-13 13:10:00",300,1,82,15,36,38.9,30,82.9171597633136,15.3466666666667,36,38.9,46.0533333333333,0.436666666666667,0,0,0,0
"2025-07-13 13:15:00",300,1,88,11,36,38.9,0,98.9107142857143,12.11,36,38.9,47.1633333333333,0.626666666666667,0,0,0,0
"2025-07-13 13:20:00",300,1,78,20,36,38.9,31,78.4285714285714,18.23,36,38.9,48.9633333333333,0.136666666666667,0,0,0,0
"2025-07-13 13:25:00",300,1,77,21,36,38.9,26,76.9263157894737,20.33,36,38.9,24.5733333333333,0.05,0,0,0,0
"2025-07-13 13:30:00",300,1,74,19,36,38.9,35,73.5766666666667,18.37,36,38.9,35.2433333333333,0,0,0,0,0
"2025-07-13 13:35:00",300,1,76,21,36,38.9,29,75.56,20.55,36,38.9,30.0833333333333,0,0,0,0,0
"2025-07-13 13:40:00",300,1,74,21,36,38.9,34,74.1833333333333,20.7166666666667,36,38.9,32.3166666666667,0,0,0,0,0
"2025-07-13 13:45:00",300,1,72,21,36,38.9,32,72.6866666666667,20.47,36,38.9,33.3866666666667,0,0,0,0,0
