"datetime","rows_in_bin","overall_completeness","hr_median","rr_median","temperature_median","temperature_calib_median","rmssd_median","activity_median","hr_mean","rr_mean","temperature_mean","temperature_calib_mean","rmssd_mean","activity_mean","hr_min","rr_min","temperature_min","temperature_calib_min","rmssd_min","activity_min","hr_max","rr_max","temperature_max","temperature_calib_max","rmssd_max","activity_max","accStepTotal_max","hr_missing_propn","rr_missing_propn","temperature_missing_propn","temperature_calib_missing_propn","rmssd_missing_propn","activity_missing_propn"
"2025-07-10 16:55:00",299,1,72,15,36,39.5,43,0,72.1371237458194,15.0401337792642,36.0005016722408,39.5005016722408,44.3678929765886,0.0133779264214047,66,11,35.9,39.4,29,0,80,18,36.1,39.6,63,1,346,0,0,0,0,0,0
"2025-07-10 17:00:00",300,1,73,13,37,40.5,39,0,72.7770034843206,13.86,36.882,40.382,38.6166666666667,0,67,10,36.1,39.6,0,0,87,18,37,40.5,59,0,346,0.0433333333333333,0,0,0,0,0
"2025-07-10 17:05:00",300,1,80,15,37,40.5,32,0,79.2,14.62,37,40.5,37.5066666666667,0.0333333333333333,68,10,37,40.5,0,0,88,20,37,40.5,91,1,346,0.1,0,0,0,0,0
"2025-07-10 17:10:00",300,1,79,16,37.25,40.75,39,0,80.6259541984733,16.3666666666667,37.335,40.835,49.3033333333333,0.376666666666667,68,11,37,40.5,0,0,101,21,37.9,41.4,133,1,402,0.126666666666667,0,0,0,0,0
"2025-07-10 17:15:00",300,1,85,17,37,40.5,57,1,86.396694214876,16.83,36.942,40.442,76.0266666666667,0.603333333333333,72,12,36.5,40,0,0,120,22,37,40.5,186,1,436,0.193333333333333,0,0,0,0,0
"2025-07-10 17:20:00",300,1,85.5,18,36,39.5,64,0,84.7065217391304,18.5433333333333,36.0548333333333,39.5548333333333,91.2466666666667,0.4,74,13,36,39.5,0,0,96,24,36.6,40.1,349,1,436,0.08,0,0,0,0,0
"2025-07-10 17:25:00",300,1,83,19,36,39.5,36.5,0,83.3450704225352,18.1533333333333,36,39.5,48.9633333333333,0.45,75,13,36,39.5,0,0,91,22,36,39.5,119,1,512,0.0533333333333333,0,0,0,0,0
"2025-07-10 17:30:00",300,1,85,18,36,39.5,30,0,83.9898305084746,18.0433333333333,36,39.5,39.0633333333333,0.116666666666667,75,11,36,39.5,0,0,91,29,36,39.5,95,1,534,0.0166666666666667,0,0,0,0,0
"2025-07-10 17:35:00",300,1,77,18,36,39.5,34,0,77.6542372881356,17.6633333333333,36,39.5,34.3066666666667,0.02,72,11,36,39.5,0,0,89,24,36,39.5,48,1,534,0.0166666666666667,0,0,0,0,0
"2025-07-10 17:40:00",300,1,76,19,36,39.5,32,0,76.3166666666667,18.3433333333333,36,39.5,31.7233333333333,0.00333333333333333,70,13,36,39.5,20,0,85,23,36,39.5,49,1,534,0,0,0,0,0,0
"2025-07-10 17:45:00",300,1,78,19,36,39.5,33.5,0,78,18.7566666666667,36,39.5,38.2266666666667,0.00333333333333333,72,14,36,39.5,22,0,87,22,36,39.5,66,1,534,0,0,0,0,0,0
"2025-07-10 17:50:00",300,1,80,18,36,39.5,35,0,81.3549488054608,17.7933333333333,36,39.5,37.2166666666667,0.16,74,11,36,39.5,0,0,100,22,36,39.5,69,1,556,0.0233333333333333,0,0,0,0,0
"2025-07-10 17:55:00",300,1,73,18,36,39.5,32,0,73.8703071672355,18.66,36,39.5,42.7366666666667,0.0333333333333333,70,14,36,39.5,0,0,85,24,36,39.5,113,1,556,0.0233333333333333,0,0,0,0,0
"2025-07-10 18:00:00",300,1,73,20,36,39.5,22,0,73.26,19.43,36,39.5,28.34,0,70,14,36,39.5,16,0,76,23,36,39.5,62,0,556,0,0,0,0,0,0
"2025-07-10 18:05:00",300,1,76,20,36,39.5,20,0,75.8133333333333,19.9533333333333,36,39.5,21.0133333333333,0.00333333333333333,74,16,36,39.5,14,0,79,23,36,39.5,34,1,556,0,0,0,0,0,0
"2025-07-10 18:10:00",300,1,81,16,36,39.5,48,0,81.5035971223022,15.68,36,39.5,47.4166666666667,0.183333333333333,69,9,36,39.5,0,0,96,21,36,39.5,84,1,574,0.0733333333333333,0,0,0,0,0
"2025-07-10 18:15:00",300,1,74,19,36,39.5,34,0,74.56,19.4689655172414,36,39.5,34.9,0.00333333333333333,69,14,36,39.5,22,0,84,35,36,39.5,67,1,574,0,0.0333333333333333,0,0,0,0
"2025-07-10 18:20:00",300,1,75,18,36,39.5,34,0,75.5666666666667,18.1666666666667,36,39.5,32.9633333333333,0.03,71,14,36,39.5,19,0,84,22,36,39.5,45,1,574,0,0,0,0,0,0
"2025-07-10 18:25:00",300,1,73,17,36,39.5,45,0,75.1904761904762,17.47,36,39.5,45.08,0.08,66,14,36,39.5,0,0,87,21,36,39.5,66,1,574,0.02,0,0,0,0,0
"2025-07-10 18:30:00",300,1,73,19.5,36,39.5,34,0,72.74,19.7366666666667,36,39.5,32.4466666666667,0,67,17,36,39.5,18,0,80,23,36,39.5,49,0,574,0,0,0,0,0,0
"2025-07-10 18:35:00",300,1,74,19,36,39.5,48,0,73.51,18.92,36,39.5,45.24,0.01,64,13,36,39.5,22,0,86,21,36,39.5,76,1,574,0,0,0,0,0,0
"2025-07-10 18:40:00",300,1,71,18,36,39.5,41,0,71.0066666666667,17.66,36,39.5,42.4133333333333,0.00333333333333333,65,11,36,39.5,27,0,78,20,36,39.5,65,1,574,0,0,0,0,0,0
"2025-07-10 18:45:00",300,1,68,17,36,39.5,47,0,68.17,16.8566666666667,36,39.5,47.64,0,65,12,36,39.5,32,0,75,21,36,39.5,61,0,574,0,0,0,0,0,0
"2025-07-10 18:50:00",300,1,68,17,36,39.5,42,0,68.29,16.9866666666667,36,39.5,44.4833333333333,0,63,14,36,39.5,29,0,74,20,36,39.5,62,0,574,0,0,0,0,0,0
"2025-07-10 18:55:00",300,1,69,19,36,36.9,41,0,69.1866666666667,18.65,36,36.9433333333333,42.7433333333333,0,63,13,36,36.9,20,0,78,21,36,39.5,71,0,574,0,0,0,0,0,0
"2025-07-10 19:00:00",300,1,75,17,36,36.9,55,0,75.0315789473684,15.9766666666667,36,36.9,52.5533333333333,0.22,62,11,36,36.9,0,0,87,19,36,36.9,98,1,592,0.05,0,0.01,0.01,0,0
"2025-07-10 19:05:00",300,1,70,18,36,36.9,31,0,70.2266666666667,17.7433333333333,36,36.9,30.6066666666667,0,68,15,36,36.9,25,0,74,20,36,36.9,36,0,592,0,0,0,0,0,0
"2025-07-10 19:10:00",300,1,70,19,36,36.9,30,0,70.1533333333333,18.7933333333333,36,36.9,31.2966666666667,0,67,14,36,36.9,23,0,76,24,36,36.9,38,0,592,0,0,0,0,0,0
"2025-07-10 19:15:00",300,1,70,19,36,38,32,0,69.9433333333333,18.9366666666667,36,37.758,32.7366666666667,0.01,65,13,36,36.9,17,0,76,22,36,38,58,1,592,0,0,0,0,0,0
"2025-07-10 19:20:00",300,1,70,18,36,38,29,0,70.4866666666667,17.2966666666667,36,38,33.1466666666667,0,65,9,36,38,17,0,75,22,36,38,66,0,592,0,0,0,0,0,0
"2025-07-10 19:25:00",300,1,69,19,36,38,28,0,69.7333333333333,18.59,36,38,28.4733333333333,0,66,17,36,38,21,0,76,20,36,38,37,0,592,0,0,0,0,0,0
"2025-07-10 19:30:00",300,1,69,18,36,38,31,0,69.0566666666667,17.8433333333333,36,38,31.9933333333333,0,64,15,36,38,19,0,76,20,36,38,52,0,592,0,0,0,0,0,0
"2025-07-10 19:35:00",300,1,68,18,36,38,33,0,67.7966666666667,18.02,36,38,32.4766666666667,0,65,15,36,38,23,0,73,21,36,38,43,0,592,0,0,0,0,0,0
"2025-07-10 19:40:00",300,1,69,17,36,38,33,0,68.8566666666667,16.9566666666667,36,38,33.8333333333333,0,65,13,36,38,25,0,74,19,36,38,44,0,592,0,0,0,0,0,0
"2025-07-10 19:45:00",300,1,68,18,36,38,36.5,0,68.28,17.28,36,38,36.5066666666667,0,60,11,36,38,19,0,74,20,36,38,60,0,592,0,0,0,0,0,0
"2025-07-10 19:50:00",300,1,68,17,36,38,42.5,0,68.3566666666667,16.5033333333333,36,38,47.0033333333333,0.02,59,14,36,38,19,0,83,20,36,38,101,1,592,0,0,0,0,0,0
"2025-07-10 19:55:00",300,1,68,18,36,38,34,0,68.8833333333333,18.2066666666667,36,38,34.12,0.00333333333333333,66,15,36,38,23,0,76,23,36,38,44,1,592,0,0,0,0,0,0
"2025-07-10 20:00:00",300,1,69,16,36,38,38,0,68.75,15.8933333333333,36,38,42.8433333333333,0.0166666666666667,62,12,36,38,26,0,80,19,36,38,88,1,592,0,0,0,0,0,0
"2025-07-10 20:05:00",300,1,65,18,36,38,45,0,65.5833333333333,17.6566666666667,36,38,42.2433333333333,0,61,14,36,38,27,0,75,21,36,38,64,0,592,0,0,0,0,0,0
"2025-07-10 20:10:00",300,1,69,17,36,38,53,0,69.1633333333333,17.2066666666667,36,38,52.34,0.00666666666666667,62,14,36,38,29,0,77,21,36,38,75,1,592,0,0,0,0,0,0
"2025-07-10 20:15:00",300,1,66,18,36,38,41,0,67.0266666666667,18.21,36,38,41.0933333333333,0.00333333333333333,63,15,36,38,26,0,77,21,36,38,62,1,592,0,0,0,0,0,0
"2025-07-10 20:20:00",300,1,66,18,36,38,42,0,66.53,18.4166666666667,36,38,40.99,0,63,15,36,38,28,0,72,20,36,38,68,0,592,0,0,0,0,0,0
"2025-07-10 20:25:00",300,1,68,16,36,38,49,0,68.3466666666667,16.7833333333333,36,38,48.28,0.01,60,13,36,38,30,0,77,22,36,38,67,1,592,0,0,0.0133333333333333,0.0133333333333333,0,0
"2025-07-10 20:30:00",300,1,67,16,36,38,44.5,0,67.7033333333333,16.2766666666667,36,38,45.8,0,62,11,36,38,31,0,77,22,36,38,64,0,592,0,0,0,0,0,0
"2025-07-10 20:35:00",300,1,68,18,36,38,41,0,67.7866666666667,18.3466666666667,36,38,39.2766666666667,0,63,15,36,38,26,0,74,23,36,38,49,0,592,0,0,0.01,0.01,0,0
