"datetime","rows_in_bin","overall_completeness","hr_median","rr_median","temperature_median","temperature_calib_median","rmssd_median","hr_mean","rr_mean","temperature_mean","temperature_calib_mean","rmssd_mean","hr_min","rr_min","temperature_min","temperature_calib_min","rmssd_min","hr_max","rr_max","temperature_max","temperature_calib_max","rmssd_max","hr_missing_propn","rr_missing_propn","temperature_missing_propn","temperature_calib_missing_propn","rmssd_missing_propn"
"2025-07-18 02:45:00",12,1,106.5,NA,36,NA,4,106.6,NA,36,NA,3.33333333333333,106,Inf,36,Inf,0,108,-Inf,36,-Inf,6,0.166666666666667,1,0,1,0
"2025-07-18 02:50:00",298,0.993333333333333,108,27,36,NA,5,106.92439862543,26.3870967741935,36,NA,13.1375838926174,84,22,36,Inf,0,109,29,36,-Inf,70,0.023489932885906,0.167785234899329,0,1,0
"2025-07-18 02:55:00",300,1,105,23.5,35.95,NA,5,105.293333333333,24.39,35.8173333333333,NA,5.96,102,21,35.2,Inf,4,110,30,36,-Inf,17,0,0,0,1,0
"2025-07-18 03:00:00",300,1,107,27,35.15,NA,5,106.891525423729,26.37,35.1135,NA,6.39666666666667,102,19,35,Inf,0,109,29,35.45,-Inf,15,0.0166666666666667,0,0,1,0
"2025-07-18 03:05:00",300,1,108,27,35.1,NA,5,106.661016949153,26.14,35.1068333333333,NA,12.4033333333333,87,18,35,Inf,0,109,31,35.45,-Inf,63,0.0166666666666667,0,0,1,0
"2025-07-18 03:10:00",300,1,106,27,35.05,NA,6,106.483333333333,26.8833333333333,35.0675,NA,11.0133333333333,103,23,35,Inf,4,109,30,35.3,-Inf,50,0,0,0,1,0
"2025-07-18 03:15:00",300,1,111,24,35.125,NA,5,109.643216080402,23.3633333333333,35.1631666666667,NA,19.52,85,14,35,Inf,0,114,29,35.45,-Inf,74,0.336666666666667,0,0,1,0
"2025-07-18 03:20:00",300,1,113,26,35,NA,7,113.38202247191,24.5433333333333,35.005,NA,13.82,105,15,35,Inf,0,118,30,35.1,-Inf,49,0.11,0,0,1,0
"2025-07-18 03:25:00",300,1,114,26,35,NA,5,113.645833333333,23.7433333333333,35.0876666666667,NA,10.8266666666667,91,16,35,Inf,0,118,29,35.55,-Inf,65,0.2,0,0,1,0
"2025-07-18 03:30:00",300,1,114,26,35.4,NA,4,114.475247524752,25.5866666666667,35.4348333333333,NA,8.98333333333333,101,21,35.1,Inf,0,120,30,35.85,-Inf,46,0.326666666666667,0,0,1,0
"2025-07-18 03:35:00",300,1,116,28,35.95,NA,4,116.578767123288,28.1666666666667,35.9355,NA,6.90333333333333,112,19,35.65,Inf,0,120,32,36,-Inf,38,0.0266666666666667,0,0,1,0
"2025-07-18 03:40:00",300,1,114,29,36,NA,4,114.15593220339,28.9766666666667,35.9961666666667,NA,4.71666666666667,111,26,35.9,Inf,0,116,32,36,-Inf,10,0.0166666666666667,0,0,1,0
"2025-07-18 03:45:00",300,1,116,27,36,NA,5,115.457943925234,25.9733333333333,35.995,NA,6.14,112,16,35.9,Inf,0,119,31,36,-Inf,25,0.286666666666667,0,0,1,0
"2025-07-18 03:50:00",300,1,114,29,36,NA,5,113.7375,28.06,36,NA,17.8033333333333,98,15,36,Inf,0,118,33,36,-Inf,63,0.2,0,0,1,0
"2025-07-18 03:55:00",300,1,115.5,29,36,NA,5,114.967153284672,27.74,36,NA,6.17333333333333,110,17,36,Inf,0,118,32,36,-Inf,21,0.0866666666666667,0,0,1,0
"2025-07-18 04:00:00",300,1,116,29,35.9,NA,4,116.084,28.77,35.902,NA,3.86666666666667,111,22,35.8,Inf,0,118,33,36,-Inf,11,0.166666666666667,0,0,1,0
"2025-07-18 04:05:00",300,1,116,29,35.65,NA,5,115.459770114943,27.91,35.6715,NA,10.4233333333333,93,12,35.4,Inf,0,119,31,35.9,-Inf,57,0.13,0,0,1,0
"2025-07-18 04:10:00",300,1,115,30,35,NA,4,114.996666666667,29.04,35.1098333333333,NA,4.69,111,14,35,Inf,3,118,31,35.55,-Inf,7,0,0,0,1,0
"2025-07-18 04:15:00",300,1,116,28,35,NA,4,115.301158301158,28.0466666666667,35,NA,6.61666666666667,111,22,35,Inf,0,118,31,35,-Inf,44,0.136666666666667,0,0,1,0
"2025-07-18 04:20:00",300,1,117,27,35,NA,4,117.222614840989,25.4533333333333,35,NA,9.25333333333333,115,14,35,Inf,0,122,29,35,-Inf,64,0.0566666666666667,0,0,1,0
"2025-07-18 04:25:00",300,1,114,28,35,NA,4,113.22,27.7333333333333,35,NA,11.5366666666667,89,23,35,Inf,3,118,30,35,-Inf,66,0,0,0,1,0
"2025-07-18 04:30:00",300,1,112,28,35,NA,5,112.559322033898,28.2033333333333,35,NA,4.94333333333333,109,26,35,Inf,0,116,31,35,-Inf,9,0.0166666666666667,0,0,1,0
"2025-07-18 04:35:00",300,1,111,28,35,NA,4,111.117647058824,27.5033333333333,35,NA,11.27,109,21,35,Inf,0,114,31,35,-Inf,68,0.0366666666666667,0,0,1,0
"2025-07-18 04:40:00",300,1,114,28,35,NA,5.5,113.733096085409,25.7866666666667,35,NA,8.99,111,11,35,Inf,0,117,31,35,-Inf,24,0.0633333333333333,0,0,1,0
"2025-07-18 04:45:00",300,1,112,29,35,NA,4,112.28,28.8466666666667,35,NA,4.66,110,27,35,Inf,3,114,31,35,-Inf,10,0,0,0,1,0
"2025-07-18 04:50:00",300,1,112,29,35,NA,5,112.803389830508,28.6666666666667,35.0216666666667,NA,9.73,107,24,35,Inf,0,116,31,35.25,-Inf,48,0.0166666666666667,0,0,1,0
"2025-07-18 04:55:00",300,1,114,28,35.45,NA,4,113.823728813559,28.27,35.4538333333333,NA,7.43,103,24,35.1,Inf,0,116,31,35.9,-Inf,28,0.0166666666666667,0,0,1,0
"2025-07-18 05:00:00",300,1,113,29,35.95,NA,4,112.863333333333,28.7533333333333,35.8786666666667,NA,5.13333333333333,111,27,35.45,Inf,3,115,30,36,-Inf,10,0,0,0,1,0
"2025-07-18 05:05:00",300,1,112,28,36,NA,5,112.03,27.83,36,NA,4.98666666666667,110,26,36,Inf,3,114,31,36,-Inf,7,0,0,0,1,0
"2025-07-18 05:10:00",300,1,112,27,36,NA,5,111.243333333333,27.2333333333333,36,NA,11.0966666666667,90,25,36,Inf,2,114,29,36,-Inf,60,0,0,0,1,0
"2025-07-18 05:15:00",300,1,111,27,36,NA,7,110.93,27.1566666666667,36,NA,7.15333333333333,107,25,36,Inf,4,112,29,36,-Inf,13,0,0,0,1,0
"2025-07-18 05:20:00",300,1,112,28,36,NA,5,111.636666666667,27.9066666666667,36,NA,5.95,107,27,36,Inf,3,114,29,36,-Inf,12,0,0,0,1,0
"2025-07-18 05:25:00",300,1,112,28,36,NA,9,111.318339100346,27.5066666666667,36,NA,16.46,87,21,36,Inf,0,116,30,36,-Inf,76,0.0366666666666667,0,0,1,0
"2025-07-18 05:30:00",300,1,115,27,36,NA,5,115.501742160279,25.7433333333333,36,NA,7.91,104,15,36,Inf,0,120,29,36,-Inf,28,0.0433333333333333,0,0,1,0
"2025-07-18 05:35:00",300,1,114,27,36,NA,4,114.663333333333,27.45,36,NA,4.56333333333333,111,25,36,Inf,2,118,30,36,-Inf,12,0,0,0,1,0
"2025-07-18 05:40:00",300,1,113.5,28,35.2,NA,5,113.206666666667,28.2066666666667,35.3595,NA,4.66,111,26,35,Inf,3,116,30,36,-Inf,6,0,0,0,1,0
"2025-07-18 05:45:00",300,1,114,27,35.25,NA,5,113.103333333333,26.8066666666667,35.383,NA,18.14,85,23,35,Inf,3,116,30,36,-Inf,111,0,0,0,1,0
"2025-07-18 05:50:00",300,1,114,26,35.95,NA,6,113.705084745763,25.03,35.9325,NA,7.55333333333333,108,17,35.75,Inf,0,118,27,36,-Inf,17,0.0166666666666667,0,0,1,0
"2025-07-18 05:55:00",300,1,111,24,35.55,NA,4,110.586666666667,24.35,35.5451666666667,NA,4.21666666666667,109,21,35.05,Inf,3,114,28,36,-Inf,7,0,0,0,1,0
"2025-07-18 06:00:00",300,1,113,27,35,NA,5,112.7,25.7366666666667,35.0356666666667,NA,6.19,108,21,35,Inf,3,117,30,35.25,-Inf,13,0,0,0,1,0
"2025-07-18 06:05:00",300,1,115,26,35,NA,5,114.603333333333,26.0466666666667,35,NA,7.04333333333333,109,24,35,Inf,4,118,28,35,-Inf,16,0,0,0,1,0
"2025-07-18 06:10:00",300,1,117,29,35,NA,8,116.210169491525,28.9433333333333,35,NA,15.5566666666667,93,25,35,Inf,0,121,32,35,-Inf,62,0.0166666666666667,0,0,1,0
"2025-07-18 06:15:00",300,1,115,28,35,NA,5,113.57,27.7,35,NA,15.0533333333333,86,25,35,Inf,3,118,31,35,-Inf,80,0,0,0,1,0
"2025-07-18 06:20:00",300,1,114,30,35,NA,5,114.335593220339,29.4533333333333,35,NA,5.87333333333333,111,23,35,Inf,0,118,33,35,-Inf,20,0.0166666666666667,0,0,1,0
"2025-07-18 06:25:00",300,1,114,28,35,NA,5,113.066666666667,28.0035971223022,35,NA,12.4333333333333,89,23,35,Inf,3,116,34,35,-Inf,71,0,0.0733333333333333,0,1,0
"2025-07-18 06:30:00",300,1,114,27,35,NA,4,114.36563876652,25.91,35,NA,6.54666666666667,108,19,35,Inf,0,117,32,35,-Inf,29,0.243333333333333,0,0,1,0
